stem	name	acc	category	gene_name	source	hmm_file	nseq	cutoff	added_date	status
K15653	K15653		iron_aquisition-siderophore_synthesis	K15653	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K15653.hmm	25	1373.87	2026-04-21	active
K15681	K15681		iron_aquisition-siderophore_synthesis	K15681	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K15681.hmm	19	612.43	2026-04-21	active
K15721	K15721		iron_aquisition-siderophore_synthesis	K15721	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K15721.hmm	115	582.4	2026-04-21	active
K16088	K16088		iron_aquisition-siderophore_synthesis	K16088	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K16088.hmm	2158	503.0	2026-04-21	active
K16089	K16089		iron_aquisition-siderophore_synthesis	K16089	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K16089.hmm	2654	438.57	2026-04-21	active
K16090	K16090		iron_aquisition-siderophore_synthesis	K16090	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K16090.hmm	1581	589.77	2026-04-21	active
K16091	K16091		iron_aquisition-siderophore_synthesis	K16091	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K16091.hmm	1109	339.6	2026-04-21	active
K19611	K19611		iron_aquisition-siderophore_synthesis	K19611	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K19611.hmm	955	426.07	2026-04-21	active
K19791	K19791		iron_aquisition-siderophore_synthesis	K19791	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K19791.hmm	522	465.23	2026-04-21	active
K19792	K19792		iron_aquisition-siderophore_synthesis	K19792	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K19792.hmm	39	437.1	2026-04-21	active
K21476	K21476		iron_aquisition-siderophore_synthesis	K21476	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K21476.hmm	1	1.0	2026-04-21	active
